config_name,hidden_layers,activation,optimizer,learning_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std
64 (LeakyReLU + SGD lr=0.001),[64],LeakyReLU,sgd,0.001,0.9400205761316872,0.012345035991484657,0.49989264626945784,0.01872995740394483,0.022535211267605635,0.04507042253521127
64 (LeakyReLU + SGD lr=0.0001),[64],LeakyReLU,sgd,0.0001,0.6123971193415637,0.23507065418538337,0.5255770263016639,0.060823645656754646,0.06708965800801113,0.03732909691417937
64 (LeakyReLU + RMSPROP lr=0.1),[64],LeakyReLU,rmsprop,0.1,0.9643004115226338,0.008229488112203637,0.6796564680622652,0.06439073044028458,0.457355241071593,0.14450856958958078
64 (LeakyReLU + RMSPROP lr=0.01),[64],LeakyReLU,rmsprop,0.01,0.9916666666666666,0.0008230452674896928,0.9029522275899089,0.007037812872680051,0.8896018951445261,0.011318528896663276
64 (LeakyReLU + RMSPROP lr=0.001),[64],LeakyReLU,rmsprop,0.001,0.9562757201646092,0.0026380414413494243,0.5006977992485239,0.0009875668004817057,0.006426553672316385,0.008428547315161409
64 (LeakyReLU + RMSPROP lr=0.0001),[64],LeakyReLU,rmsprop,0.0001,0.9578703703703704,0.0009259259259259523,0.5009393451422437,0.0018786902844873945,0.004571428571428572,0.009142857142857145
64 (Sigmoid + ADAM lr=0.1),[64],Sigmoid,adam,0.1,0.9555555555555557,0.002273872027294285,0.5032742887815351,0.00909921822735391,0.01641025641025641,0.03282051282051282
64 (Sigmoid + ADAM lr=0.01),[64],Sigmoid,adam,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Sigmoid + ADAM lr=0.001),[64],Sigmoid,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Sigmoid + ADAM lr=0.0001),[64],Sigmoid,adam,0.0001,0.9529320987654322,0.010802469135802493,0.5166666666666666,0.033333333333333305,0.03963963963963964,0.07927927927927927
64 (Sigmoid + SGD lr=0.1),[64],Sigmoid,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Sigmoid + SGD lr=0.01),[64],Sigmoid,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Sigmoid + SGD lr=0.001),[64],Sigmoid,sgd,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Sigmoid + SGD lr=0.0001),[64],Sigmoid,sgd,0.0001,0.6649176954732511,0.3619641595567216,0.48035426731078906,0.030770658041187254,0.03095902484161922,0.03163297566766384
64 (Sigmoid + RMSPROP lr=0.1),[64],Sigmoid,rmsprop,0.1,0.9736111111111111,0.004619902905209421,0.7872517444981213,0.042481992016663715,0.6472239156373485,0.05271986037430508
64 (Sigmoid + RMSPROP lr=0.01),[64],Sigmoid,rmsprop,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Sigmoid + RMSPROP lr=0.001),[64],Sigmoid,rmsprop,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Sigmoid + RMSPROP lr=0.0001),[64],Sigmoid,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64-32 (ReLU + ADAM lr=0.1),"[64, 32]",ReLU,adam,0.1,0.9919238683127573,0.002528437392478296,0.9467793880837359,0.025573181893063315,0.9039586135197581,0.021898621034226008
64-32 (ReLU + ADAM lr=0.01),"[64, 32]",ReLU,adam,0.01,0.9652263374485596,0.008597462769262678,0.5868491680085883,0.10908360024176067,0.23724829190027222,0.29375580238299076
